description,availability,type
Which of the 3 data subsets this entry belongs to,1.0,location
"The unique identifier for the home. To be more precise, this is the unique identifier for the home-resident pair. Thus, if a resident moves, the data collected from the house is associated with a new data ID.",1.0,dataid
"This field will read Single-Family Home if this is a freestanding single-family home, Town Home if it is a home that shares at least one wall with a neighboring house, or Apartment if it is an apartment.",1.0,non-data-present
participant's city,1.0,non-data-present
participant's state,1.0,non-data-present
"If eGauge electricity data is present, this field will show the minimum timestamp of the available data.",1.0,non-data-present
"If eGauge electricity data is present, this field will show the maximum timestamp of the available data.",1.0,non-data-present
This field shows how much one minute data  is available for each home.,1.0,non-data-present
The date on which this participant enrolled with Pecan Street.,1.0,non-data-present
The total square footage of the home.,0.9178082191780822,non-data-present
The year in which this home was constructed.,0.7945205479452054,non-data-present
"If eGauge electricity data is present in one second interval, this field will show the minimum timestamp of the available data.",0.726027397260274,non-data-present
"If eGauge electricity data is present in one second interval, this field will show the maximum timestamp of the available data.",0.726027397260274,non-data-present
This field shows how much one second data  is available for each home.,0.726027397260274,non-data-present
this field will show yes if this participant is currently enrolled with Pecan Street and will be blank otherwise.,0.6027397260273972,non-data-present
This field will show 'yes' if this participant has a solar photovoltaic system installed at their home and will be blank otherwise.,0.4794520547945205,non-data-present
"The date on which this participant withdrew from participating with Pecan Street. If this field is blank, the participant is still enrolled.",0.3972602739726027,non-data-present
The square footage of the first floor of the home.,0.3561643835616438,non-data-present
"If ERT gas data is present, this field will show the minimum timestamp of the available data.",0.2465753424657534,non-data-present
"If ERT gas data is present, this field will show the maximum timestamp of the available data.",0.2465753424657534,non-data-present
This field shows how much gas data is available for each home.,0.2465753424657534,non-data-present
"The square footage of the second floor of the home. If this field is blank and this home’s first floor square footage is indicated, there is no second floor. If the first floor square footage is not indicated, the number of floors of the home is unknown.",0.2465753424657534,non-data-present
"The square footage of the third floor of the home. If this field is blank and this home’s first floor square footage is indicated, there is no third floor. If the first floor square footage is not indicated, the number of floors of the home is unknown.",0.2465753424657534,non-data-present
Size of pv system.,0.2465753424657534,non-data-present
pv_panel_direction. Direction solar panels are facing,0.2191780821917808,non-data-present
Size of pv system facing south .,0.2054794520547945,non-data-present
Size of pv system facing west .,0.1917808219178082,non-data-present
