dataid,city,has_car,has_solar
661,austin,True,True
1642,austin,True,True
2335,austin,True,True
2361,austin,False,True
2818,austin,False,True
3039,austin,False,True
3456,austin,False,True
3538,austin,False,True
4031,austin,False,True
4373,austin,True,True
4767,austin,True,True
5746,austin,False,True
6139,austin,True,True
7536,austin,False,True
7719,austin,True,True
7800,austin,False,True
7901,austin,False,False
7951,austin,False,False
8156,austin,True,True
8386,austin,False,False
8565,austin,False,False
9019,austin,False,True
9160,austin,False,True
9278,austin,True,True
9922,austin,False,False
203,california,False,False
1450,california,False,False
1524,california,False,False
1731,california,False,True
2606,california,False,False
3687,california,False,False
3864,california,False,False
3938,california,False,False
4495,california,False,True
4934,california,False,False
5938,california,False,False
6377,california,False,False
6547,california,False,False
7062,california,False,False
7114,california,False,False
8061,california,False,False
8342,california,False,True
8574,california,False,False
8733,california,False,False
9213,california,False,False
9612,california,False,False
9775,california,False,False
9836,california,False,True
27,newyork,True,True
142,newyork,False,True
387,newyork,False,True
558,newyork,False,False
914,newyork,False,True
950,newyork,False,True
1222,newyork,True,True
1240,newyork,False,True
1417,newyork,False,False
2096,newyork,False,False
2318,newyork,False,False
2358,newyork,False,False
3000,newyork,True,True
3488,newyork,False,True
3517,newyork,False,True
3700,newyork,False,False
3996,newyork,False,False
4283,newyork,False,False
4550,newyork,False,False
5058,newyork,False,True
5587,newyork,False,True
5679,newyork,True,True
5982,newyork,False,False
5997,newyork,False,True
9053,newyork,True,False
